Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Target
5.0,1997.0,133.0,403.0,0.0,412.0,96.0,24.0,91.0,3161.0,778.0,4.0,10.0
5.0,2007.0,5.0,257.0,152.0,409.0,91.0,46.0,79.0,785.0,99.0,5.0,0.0
9.0,2016.0,30.0,110.0,215.0,408.0,88.0,31.0,84.0,809.0,213.0,4.0,0.0
7.0,2007.0,101.0,231.0,4.0,407.0,93.0,70.0,89.0,709.0,606.0,4.0,7.0
14.0,2010.0,15.0,266.0,103.0,405.0,84.0,81.0,81.0,769.0,493.0,4.0,1.0
14.0,2007.0,71.0,235.0,127.0,405.0,90.0,66.0,83.0,381.0,749.0,1.0,9.0
12.0,2007.0,117.0,212.0,147.0,405.0,56.0,27.0,60.0,44.0,133.0,1.0,9.0
9.0,2014.0,126.0,140.0,190.0,405.0,80.0,80.0,63.0,2996.0,760.0,4.0,10.0
7.0,2000.0,77.0,168.0,151.0,405.0,85.0,25.0,85.0,117.0,455.0,5.0,3.0
9.0,2014.0,126.0,112.0,218.0,404.0,85.0,83.0,77.0,1653.0,760.0,4.0,4.0
14.0,2009.0,30.0,267.0,87.0,397.0,89.0,76.0,86.0,681.0,778.0,4.0,7.0
9.0,2015.0,77.0,102.0,213.0,397.0,92.0,79.0,92.0,10179.0,127.0,4.0,0.0
9.0,2014.0,126.0,119.0,206.0,396.0,70.0,40.0,49.0,2050.0,773.0,4.0,8.0
9.0,2015.0,136.0,153.0,169.0,395.0,87.0,89.0,76.0,2679.0,597.0,4.0,7.0
12.0,2011.0,80.0,202.0,115.0,395.0,93.0,81.0,80.0,1958.0,477.0,2.0,2.0
8.0,2008.0,15.0,215.0,112.0,394.0,90.0,57.0,80.0,910.0,79.0,4.0,10.0
2.0,2007.0,80.0,90.0,176.0,394.0,84.0,65.0,88.0,72.0,395.0,2.0,9.0
12.0,2009.0,30.0,209.0,135.0,390.0,81.0,27.0,87.0,39.0,209.0,1.0,9.0
7.0,2003.0,5.0,229.0,117.0,390.0,90.0,38.0,87.0,121.0,469.0,5.0,8.0
0.0,2014.0,80.0,68.0,48.0,389.0,86.0,80.0,87.0,348.0,129.0,5.0,0.0
5.0,2011.0,15.0,115.0,212.0,388.0,94.0,32.0,81.0,9073.0,79.0,4.0,0.0
9.0,2015.0,117.0,249.0,66.0,388.0,87.0,51.0,67.0,364.0,790.0,2.0,7.0
7.0,2005.0,77.0,93.0,194.0,387.0,88.0,62.0,86.0,229.0,455.0,5.0,1.0
8.0,2006.0,101.0,153.0,160.0,387.0,84.0,9.0,74.0,220.0,249.0,5.0,0.0
7.0,2004.0,61.0,16.0,189.0,385.0,91.0,26.0,91.0,38.0,374.0,1.0,8.0
8.0,2010.0,101.0,213.0,112.0,384.0,76.0,64.0,79.0,104.0,614.0,2.0,8.0
9.0,2013.0,5.0,178.0,143.0,383.0,78.0,49.0,37.0,1564.0,345.0,4.0,2.0
2.0,2007.0,80.0,86.0,156.0,383.0,59.0,22.0,40.0,4.0,482.0,1.0,3.0
9.0,2016.0,126.0,135.0,170.0,380.0,80.0,64.0,70.0,2219.0,423.0,4.0,10.0
12.0,2007.0,80.0,105.0,191.0,379.0,68.0,33.0,69.0,39.0,477.0,1.0,0.0
14.0,2008.0,5.0,240.0,101.0,376.0,77.0,60.0,75.0,66.0,740.0,2.0,4.0
5.0,2002.0,30.0,202.0,156.0,376.0,79.0,21.0,80.0,29.0,427.0,5.0,0.0
6.0,2001.0,30.0,137.0,200.0,373.0,64.0,11.0,75.0,41.0,47.0,1.0,8.0
12.0,2007.0,80.0,195.0,86.0,371.0,85.0,56.0,79.0,417.0,349.0,1.0,2.0
6.0,2000.0,101.0,193.0,158.0,371.0,91.0,15.0,88.0,207.0,348.0,1.0,0.0
8.0,2013.0,126.0,133.0,168.0,371.0,88.0,36.0,81.0,840.0,754.0,4.0,4.0
7.0,2004.0,30.0,57.0,248.0,370.0,81.0,27.0,76.0,56.0,209.0,1.0,8.0
7.0,2002.0,5.0,213.0,118.0,367.0,94.0,27.0,85.0,128.0,469.0,5.0,10.0
2.0,2007.0,30.0,158.0,159.0,366.0,67.0,15.0,73.0,13.0,698.0,1.0,10.0
10.0,2005.0,117.0,165.0,121.0,365.0,74.0,34.0,84.0,31.0,588.0,2.0,9.0
